,geometry,Name,Building,Node_int,GRID0_kW,Type
0,POINT (371680.3067022057 140313.5552160466),Node0,B000,0.0,2355.12064923,PLANT
1,POINT (371597.8859514986 140239.2383867408),Node1,B001,1.0,1494.41676739,CONSUMER
2,POINT (371472.1857665184 140425.462191461),Node2,B002,2.0,2606.73959088,CONSUMER
3,POINT (371766.1335318272 140473.7355846169),Node3,B003,3.0,2499.99931841,CONSUMER
4,POINT (371403.4923000865 140343.4516049612),Node4,B004,4.0,1621.85436721,CONSUMER
5,POINT (371754.0697752496 140162.6510526158),Node5,B005,5.0,2351.67272946,CONSUMER
6,POINT (371660.8209406618 140169.4406446914),Node6,B006,6.0,2489.57468946,CONSUMER
7,POINT (371372.0490498997 140286.9879782145),Node7,B007,7.0,2191.90587578,CONSUMER
8,POINT (371433.1004486191 140235.8503393936),Node8,B008,8.0,2001.81425408,CONSUMER
9,POINT (371264.797327787 140342.9146117776),Node9,B009,9.0,1809.01214056,CONSUMER
10,POINT (371300.7876449614 140201.9115268284),Node10,B010,10.0,1891.79776186,CONSUMER
11,POINT (371361.8390586562 140150.7738908094),Node11,B011,11.0,2251.4133058,CONSUMER
12,POINT (371239.7362192744 140253.0491728922),Node12,B012,12.0,2047.19039537,CONSUMER
13,POINT (371399.0216293071 140338.1142366245),Node13,B013,13.0,1917.08658302,CONSUMER
14,POINT (371507.7972285422 140240.7999782976),Node14,B014,14.0,2088.60236374,CONSUMER
15,POINT (371477.9170045473 140432.3045043699),Node15,B015,15.0,2265.35625629,CONSUMER
16,POINT (371598.7269699411 140322.7891303287),Node16,B016,16.0,2798.38168404,CONSUMER
17,POINT (371762.6925842985 140305.0480352475),Node17,B017,17.0,2134.82221008,CONSUMER
18,POINT (371592.910572564 140516.9768220726),Node18,B018,18.0,1459.41890028,CONSUMER
19,POINT (371680.1427332597 140396.1997580703),Node19,B019,19.0,2416.80854887,CONSUMER
20,POINT (371560.8370129658 140531.2996326727),Node20,B020,20.0,1324.80900825,CONSUMER
21,POINT (371917.2069540963 140459.9800435619),Node21,B021,21.0,2756.27347631,CONSUMER
22,POINT (372119.8853506825 140762.7412035021),Node22,B022,22.0,3164.46584541,CONSUMER
23,POINT (372268.5189657793 140713.2887310432),Node23,B023,23.0,2365.87885222,CONSUMER
24,POINT (371904.1239038213 140668.7200076768),Node24,B024,24.0,1332.25539755,CONSUMER
25,POINT (371810.2901692746 140848.6606427245),Node25,B025,25.0,2407.43402564,CONSUMER
26,POINT (372068.1450754629 140627.5039281591),Node26,B026,26.0,3573.39937208,CONSUMER
27,POINT (372411.3672569863 140841.5878783157),Node27,B027,27.0,1749.00213561,CONSUMER
28,POINT (372434.2167442874 140758.1104727869),Node28,B028,28.0,2574.25652259,CONSUMER
29,POINT (372268.1691594791 140606.3425013297),Node29,B029,29.0,2920.42430254,CONSUMER
30,POINT (372370.4444343064 140642.9733395533),Node30,B030,30.0,2456.85725776,CONSUMER
31,POINT (372166.483535076 140519.8458263175),Node31,B031,31.0,2414.53589165,CONSUMER
32,POINT (372374.0318414974 140540.559516094),Node32,B032,32.0,2590.12779987,CONSUMER
33,POINT (372476.3071109649 140577.1903633903),Node33,B033,33.0,2466.98228146,CONSUMER
34,POINT (372271.7565357643 140503.9286558089),Node34,B034,34.0,3203.4526879,CONSUMER
35,POINT (372171.5113148031 140601.5295304795),Node35,B035,35.0,2329.55618358,CONSUMER
36,POINT (372286.8971058003 140690.0869372517),Node36,B036,36.0,2006.02943849,CONSUMER
37,POINT (371987.2408505587 140647.8339558842),Node37,B037,37.0,3069.22470628,CONSUMER
38,POINT (372117.97019297 140746.2912525243),Node38,B038,38.0,1914.00386968,CONSUMER
39,POINT (372260.7396298759 140808.9746811451),Node39,B039,39.0,2129.97794773,CONSUMER
40,POINT (371843.5373920644 140683.9444964504),Node40,B040,40.0,2113.28011016,CONSUMER
41,POINT (371967.0708304935 140796.4975529945),Node41,B041,41.0,2651.25845613,CONSUMER
42,POINT (371747.4007346547 140708.1022077794),Node42,B042,42.0,2030.68089729,CONSUMER
43,POINT (372027.1789983839 140954.3147835862),Node43,B043,43.0,1923.15184823,CONSUMER
