,OFFICE_ahu_heat_air_flow,OFFICE_ahu_cool_air_flow,OFFICE_tu_heat_air_flow,OFFICE_tu_cool_air_flow,OFFICE_window_air_flow
2005-01-01 00:00:00,-0.0,-0.0,-0.0,78.7203553672,3.63797880709e-12
2005-01-01 01:00:00,-0.0,-0.0,-0.0,79.2587529721,0.0
2005-01-01 02:00:00,-0.0,-0.0,-0.0,79.1241535708,0.0
2005-01-01 03:00:00,-0.0,-0.0,-0.0,79.0792871038,0.0
2005-01-01 04:00:00,-0.0,-0.0,-0.0,79.0344206367,0.0
2005-01-01 05:00:00,-0.0,-0.0,-0.0,78.9895541696,0.0
2005-01-01 06:00:00,-0.0,-0.0,-0.0,118.866199456,9.45672764161
2005-01-01 07:00:00,-0.0,-0.0,-0.0,118.911065923,9.45672764161
2005-01-01 08:00:00,-0.0,-0.0,-0.0,177.553970776,36.4461469977
2005-01-01 09:00:00,-0.0,-0.0,-0.0,177.912902513,36.4461469977
2005-01-01 10:00:00,-0.0,-0.0,-0.0,178.137234848,36.4461469977
2005-01-01 11:00:00,-0.0,-0.0,-0.0,178.451300118,36.4461469977
2005-01-01 12:00:00,-0.0,-0.0,-0.0,107.301511087,9.45672764161
2005-01-01 13:00:00,-0.0,-0.0,-0.0,107.391244021,9.45672764161
2005-01-01 14:00:00,-0.0,-0.0,-0.0,107.346377554,9.45672764161
2005-01-01 15:00:00,-0.0,-0.0,-0.0,107.25664462,9.45672764161
2005-01-01 16:00:00,-0.0,-0.0,-0.0,107.166911686,9.45672764161
2005-01-01 17:00:00,-0.0,-0.0,-0.0,85.8152953296,2.7093728026
2005-01-01 18:00:00,-0.0,-0.0,-0.0,85.5012300601,2.7093728026
2005-01-01 19:00:00,-0.0,-0.0,-0.0,79.7074176428,0.0
2005-01-01 20:00:00,-0.0,-0.0,-0.0,79.4382188403,0.0
2005-01-01 21:00:00,-0.0,-0.0,-0.0,79.3484859062,0.0
2005-01-01 22:00:00,-0.0,-0.0,-0.0,79.2587529721,0.0
2005-01-01 23:00:00,-0.0,0.0,0.0,0.0,0.0
