scenario,IBPSA\Office
solver_name,gurobi
threads,30
time_limit,3600
interest_rate,0.05
voltage_nominal,22000
approx_loss_hours,0
timesteps,24
alpha,1.0
beta,1000000.0
load_factor,10.0
Runtime,68.11199998855591

Cost type,Value in SGD
Electricity,5468.71349346
Investment (lines),6463.08464377
Investment (substation),99037.3682332
Investment (building transformer),165062.280389
Operation & maintenance,10822.5093306
"Invest., op. & main. total",281385.24259657
Losses,0.0
Total,286853.95609002997

Set temperature tracking,-0.00180143899797
Total (with set temp. tracking),286853.954288591

Startnode,Endnode,Linetype,Power in kW,Loading in %
4,8,0,4546.90916795,53.918989467368355
2,8,0,4747.13420284,56.293334577104694
0,3,0,4964.69509679,58.873254939729861
1,9,0,4621.423942920001,54.80261419316912
6,7,0,5146.287324020001,61.026645083607484
0,8,1,11781.8595049,93.695037971189606
0,1,0,8419.22330806,99.838372860080241
5,7,0,2940.18129794,34.865795330425556
0,6,0,7433.03093705,88.143726210857366

Time step,Base demand in kW,Total demand in kW
2005-01-01 00:00:00,21219.25,28105796183.799995
2005-01-01 01:00:00,21219.25,28152895818.350002
2005-01-01 02:00:00,21219.25,28141120909.76
2005-01-01 03:00:00,21219.25,28137195940.24
2005-01-01 04:00:00,21219.25,28133270970.590004
2005-01-01 05:00:00,21219.25,28129346001.08
2005-01-01 06:00:00,28297.579999999998,38696130266.100006
2005-01-01 07:00:00,28296.93,38699405235.62999
2005-01-01 08:00:00,35370.32,50902943222.66
2005-01-01 09:00:00,35370.520000000004,50934542978.98
2005-01-01 10:00:00,35370.48,50954127826.72001
2005-01-01 11:00:00,35370.6,50981722613.52
2005-01-01 12:00:00,25476.83,34863688179.74
2005-01-01 13:00:00,25476.820000000003,34871528118.909996
2005-01-01 14:00:00,25476.67,34867453149.28001
2005-01-01 15:00:00,25476.650000000005,34859583210.22
2005-01-01 16:00:00,25476.890000000003,34851973271.17
2005-01-01 17:00:00,21224.18,28731399597.899998
2005-01-01 18:00:00,21223.980000000003,28703724811.009995
2005-01-01 19:00:00,21219.25,28192145510.670002
2005-01-01 20:00:00,21219.25,28168595696.539997
2005-01-01 21:00:00,21219.25,28160745760.670002
2005-01-01 22:00:00,21219.25,28152895818.350002
2005-01-01 23:00:00,21219.25,21219250000.0

Time step,Base demand in W/m2,Total demand in W/m2
2005-01-01 00:00:00,0.0056700025253958713,7510158.7162792105
2005-01-01 01:00:00,0.0056700025253958713,7522744.2245720942
2005-01-01 02:00:00,0.0056700025253958713,7519597.8475115644
2005-01-01 03:00:00,0.0056700025253958713,7518549.0551607283
2005-01-01 04:00:00,0.0056700025253958713,7517500.2627751548
2005-01-01 05:00:00,0.0056700025253958713,7516451.4704269888
2005-01-01 06:00:00,0.0075614053306592693,10340005.246737499
2005-01-01 07:00:00,0.0075612316439530244,10340880.352384757
2005-01-01 08:00:00,0.0094513144302489534,13601791.610097667
2005-01-01 09:00:00,0.0094513678723124155,13610235.391010579
2005-01-01 10:00:00,0.0094513571838997223,13615468.664389482
2005-01-01 11:00:00,0.0094513892491377982,13622842.276126171
2005-01-01 12:00:00,0.0068076718281315941,9315937.180802336
2005-01-01 13:00:00,0.0068076691560284199,9318032.0934355762
2005-01-01 14:00:00,0.0068076290744808242,9316943.219507752
2005-01-01 15:00:00,0.0068076237302744803,9314840.2905943859
2005-01-01 16:00:00,0.006807687860750632,9312806.8363661915
2005-01-01 17:00:00,0.0056713198722601671,7677326.4030656563
2005-01-01 18:00:00,0.0056712664301967076,7669931.4144795332
2005-01-01 19:00:00,0.0056700025253958713,7533232.1473108996
2005-01-01 20:00:00,0.0056700025253958713,7526939.3940048339
2005-01-01 21:00:00,0.0056700025253958713,7524841.8101502182
2005-01-01 22:00:00,0.0056700025253958713,7522744.2245720942
2005-01-01 23:00:00,0.0056700025253958713,5670002.5253958721

Building name,Average demand in kW,Peak demand in kW
B001,12325035955.237501,18382913766.7
B002,2520968771.5070834,3797799365.14
B003,3155105839.8675003,4747134202.84
B004,3295556797.917083,4964695096.79
B005,3025798628.1604166,4546909167.95
B006,1954126842.6966667,2940181297.94
B007,1519830161.9033337,2286743613.03
B008,1466229342.56125,2206106026.0800004
B009,1653474151.329167,2487816134.13
B010,3067685220.982083,4621423942.92

Building name,Average demand in W/m2,Peak demand in W/m2
B001,9133235.3561534714,13622311.413363302
B002,9043168.1278074682,13623388.977607166
B003,9054120.6826562304,13622720.805804551
B004,9043153.3175528646,13623342.484508604
B005,9065551.9919611439,13622929.52384476
B006,9054312.6756521817,13623128.352260178
B007,9054271.8793781605,13623100.073810775
B008,9054339.7635330595,13623266.793729182
B009,9054249.713074604,13623018.237401327
B010,9043165.4057041071,13623399.441331048

Linetype,Crosssection in mm2
0,50.0
1,150.0
2,400.0
3,1000.0
