Name,G_win,type_win,r_roof,type_roof,r_wall,type_wall
B1000,0.75,WINDOW_AS2,0.45,ROOF_AS2,0.15,WALL_AS5
B1001,0.75,WINDOW_AS2,0.5,ROOF_AS4,0.15,WALL_AS5
B1002,0.75,WINDOW_AS2,0.5,ROOF_AS4,0.15,WALL_AS5
B1003,0.75,WINDOW_AS2,0.5,ROOF_AS4,0.15,WALL_AS5
B1004,0.75,WINDOW_AS2,0.5,ROOF_AS4,0.15,WALL_AS5
B1005,0.75,WINDOW_AS2,0.5,ROOF_AS4,0.15,WALL_AS5
B1006,0.75,WINDOW_AS2,0.5,ROOF_AS4,0.15,WALL_AS5
B1007,0.75,WINDOW_AS2,0.5,ROOF_AS4,0.15,WALL_AS5
B1008,0.75,WINDOW_AS2,0.5,ROOF_AS4,0.15,WALL_AS5
B1014,0.75,WINDOW_AS2,0.5,ROOF_AS4,0.15,WALL_AS5
B1009,0.85,WINDOW_AS1,0.4,ROOF_AS1,0.15,WALL_AS5
B1010,0.85,WINDOW_AS1,0.4,ROOF_AS1,0.15,WALL_AS5
B1011,0.85,WINDOW_AS1,0.4,ROOF_AS1,0.15,WALL_AS5
B1012,0.85,WINDOW_AS1,0.45,ROOF_AS2,0.7,WALL_AS3
B1013,0.85,WINDOW_AS1,0.45,ROOF_AS2,0.15,WALL_AS5
